#          iterations=   6     deuteron energy=-.222458389E+01 MeV
#
#
#                  D-state probability=0.575987699E-01
#
#
#
#
#   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.721452987E-03  0.159924767E+02  -.384887492E-05
 0.380126159E-02  0.159881996E+02  -.106820838E-03
 0.934194630E-02  0.159658582E+02  -.644262148E-03
 0.173445195E-01  0.159006875E+02  -.221167120E-02
 0.278088167E-01  0.157583177E+02  -.563405031E-02
 0.407344615E-01  0.154979268E+02  -.118871921E-01
 0.561209567E-01  0.150782675E+02  -.219470299E-01
 0.739677009E-01  0.144666771E+02  -.365645739E-01
 0.942739934E-01  0.136493589E+02  -.560092973E-01
 0.117039035E+00  0.126392190E+02  -.798742405E-01
 0.142261930E+00  0.114770556E+02  -.107048101E+00
 0.169941685E+00  0.102243087E+02  -.135899334E+00
 0.200077209E+00  0.894984899E+01  -.164610197E+00
 0.232667315E+00  0.771626612E+01  -.191523969E+00
 0.267710720E+00  0.657057077E+01  -.215382190E+00
 0.305206042E+00  0.554109182E+01  -.235407056E+00
 0.345151805E+00  0.463933231E+01  -.251259605E+00
 0.387546435E+00  0.386430410E+01  -.262935395E+00
 0.432388261E+00  0.320721153E+01  -.270650465E+00
 0.479675516E+00  0.265531134E+01  -.274746833E+00
 0.529406339E+00  0.219460101E+01  -.275625064E+00
 0.581578768E+00  0.181144942E+01  -.273702406E+00
 0.636190749E+00  0.149344538E+01  -.269388267E+00
 0.693240130E+00  0.122973770E+01  -.263071361E+00
 0.752724663E+00  0.101107875E+01  -.255113371E+00
 0.814642005E+00  0.829714223E+00  -.245846108E+00
 0.878989717E+00  0.679206912E+00  -.235570307E+00
 0.945765262E+00  0.554244061E+00  -.224555348E+00
 0.101496601E+01  0.450453658E+00  -.213039513E+00
 0.108658923E+01  0.364240953E+00  -.201230741E+00
 0.116063211E+01  0.292648588E+00  -.189307840E+00
 0.123709173E+01  0.233239791E+00  -.177422081E+00
 0.131596507E+01  0.184002256E+00  -.165699131E+00
 0.139724903E+01  0.143269792E+00  -.154241236E+00
 0.148094040E+01  0.109658790E+00  -.143129584E+00
 0.156703589E+01  0.820168371E-01  -.132426740E+00
 0.165553211E+01  0.593812126E-01  -.122179019E+00
 0.174642556E+01  0.409453376E-01  -.112418787E+00
 0.183971267E+01  0.260316196E-01  -.103166612E+00
 0.193538977E+01  0.140694257E-01  -.944332249E-01
 0.203345307E+01  0.457716499E-02  -.862212775E-01
 0.213389873E+01  -.285233461E-02  -.785268902E-01
 0.223672278E+01  -.856380647E-02  -.713410019E-01
 0.234192116E+01  -.128494006E-01  -.646505203E-01
 0.244948974E+01  -.159568276E-01  -.584392928E-01
 0.255942428E+01  -.180961214E-01  -.526889241E-01
 0.267172044E+01  -.194452816E-01  -.473794434E-01
 0.278637381E+01  -.201550054E-01  -.424898522E-01
 0.290337986E+01  -.203526760E-01  -.379985672E-01
 0.302273398E+01  -.201457388E-01  -.338837692E-01
 0.314443148E+01  -.196245733E-01  -.301236801E-01
 0.326846755E+01  -.188649441E-01  -.266967775E-01
 0.339483731E+01  -.179301006E-01  -.235819562E-01
 0.352353578E+01  -.168725795E-01  -.207586519E-01
 0.365455789E+01  -.157357550E-01  -.182069304E-01
 0.378789848E+01  -.145551742E-01  -.159075516E-01
 0.392355230E+01  -.133597073E-01  -.138420153E-01
 0.406151399E+01  -.121725390E-01  -.119925880E-01
 0.420177813E+01  -.110120215E-01  -.103423266E-01
 0.434433919E+01  -.989240924E-02  -.887508339E-02
 0.448919155E+01  -.882449056E-02  -.757551289E-02
 0.463632950E+01  -.781613054E-02  -.642907095E-02
 0.478574725E+01  -.687273748E-02  -.542201098E-02
 0.493743890E+01  -.599766381E-02  -.454137755E-02
 0.509139850E+01  -.519255091E-02  -.377499762E-02
 0.524761995E+01  -.445762601E-02  -.311146985E-02
 0.540609712E+01  -.379195845E-02  -.254015173E-02
 0.556682376E+01  -.319368129E-02  -.205114474E-02
 0.572979354E+01  -.266018342E-02  -.163527732E-02
 0.589500003E+01  -.218827649E-02  -.128408562E-02
 0.606243673E+01  -.177434029E-02  -.989792080E-03
 0.623209703E+01  -.141444918E-02  -.745281640E-03
 0.640397426E+01  -.110448227E-02  -.544075941E-03
 0.657806164E+01  -.840218761E-03  -.380305373E-03
 0.675435232E+01  -.617420225E-03  -.248679452E-03
 0.693283934E+01  -.431900810E-03  -.144455495E-03
 0.711351568E+01  -.279586373E-03  -.634062102E-04
